SMILES,148_KAG,290_KBA,178_KAA,154_KAN,212_KAL,342_KAI,104_KAF,260_KAF,140_KAC,168_KAK,314_KAF,340_KAH,22_KAI,156_KAE,80_KAD,92_KAM,222_KAV,210_KAF,216_KAA,204_KAM,296_KAW,220_KAH,286_KAM,200_KAR,134_KAC,216_KAN,134_KAH,322_KAK,72_KAI,182_KAD,304_KAQ,140_KAD,268_KAL,192_KAO,284_KAJ,310_KAQ,58_KAF,8_KAI,34_KAS,56_KAS,22_KAJ
N(C(=O)Nc1ccccc1)NC(=O)CCC,-6.7,-6.4,-6.2,-5.5,-6.1,-5.9,-6.3,-5.5,-5.3,-5.4,-5.4,-5.6,-6.0,-6.1,-5.1,-4.9,-5.3,-6.3,-5.9,-4.4,-6.2,-5.3,-4.8,-6.4,-5.5,-5.6,-6.1,-5.2,-5.4,-5.8,-5.6,-6.0,-5.8,-6.9,-4.9,-6.4,-5.9,-6.7,-5.2,-5.5,-5.9
N(C(=O)c1ccc2c(c1)OCO2)([C@H]1CCS(=O)(=O)C1)CC(C)C,-7.4,-6.9,-6.0,-5.0,-5.8,-5.6,-6.4,-6.4,-5.3,-5.5,-6.0,-5.7,-5.7,-6.2,-5.1,-5.6,-5.9,-6.8,-7.2,-4.7,-7.1,-5.5,-5.5,-6.0,-5.8,-5.7,-6.1,-5.4,-6.3,-6.7,-6.4,-5.7,-6.3,-7.7,-5.2,-6.1,-6.5,-6.3,-5.2,-6.0,-6.2
[C@H](c1ncc([nH]1)c1ccc(Cl)cc1)(NC(=O)C1CCN(C)CC1)CCCCCC(=O)C,-7.9,-6.9,-6.2,-6.3,-6.3,-6.3,-7.5,-6.4,-6.8,-5.4,-6.4,-6.6,-7.1,-6.2,-5.5,-6.4,-6.4,-8.3,-7.4,-5.0,-8.5,-6.5,-5.8,-6.1,-6.9,-6.4,-7.3,-5.8,-6.6,-7.4,-7.0,-6.6,-7.1,-8.3,-6.0,-8.0,-6.6,-8.1,-6.5,-6.9,-7.1
c1(ccc(cc1)C(=O)N[C@@H]1CCOC[C@H]1C(=O)NO)Cn1c(nc2ccccc12)C(C)(C)F,-8.7,-8.4,-7.1,-6.7,-7.5,-7.1,-8.5,-7.5,-7.5,-7.3,-8.0,-7.0,-7.5,-7.1,-7.1,-6.7,-7.5,-8.5,-9.2,-6.3,-9.2,-6.9,-7.6,-6.4,-7.5,-8.1,-8.5,-7.4,-7.5,-9.2,-7.7,-7.9,-7.7,-9.4,-6.9,-8.3,-8.9,-7.8,-7.3,-8.3,-8.1
N(C(=O)c1ccccc1)([C@@H](C)C#N)CCc1ccccc1,-6.7,-6.5,-5.9,-6.0,-5.0,-5.5,-6.7,-5.6,-5.4,-5.5,-5.4,-5.9,-5.8,-5.9,-5.2,-5.3,-5.8,-7.1,-7.0,-4.9,-7.4,-5.1,-5.9,-6.3,-5.7,-6.0,-6.1,-5.1,-5.9,-6.1,-5.7,-5.0,-6.7,-7.2,-5.1,-6.5,-5.8,-5.7,-5.4,-5.9,-6.3
c1(ccc(cc1)CN1CCC[C@H](C1)C(=O)N(CC)CC)CN1CCC[C@@H](C1)C(=O)N(CC)CC,-7.7,-6.3,-6.8,-5.6,-5.4,-5.9,-7.8,-7.2,-5.7,-5.8,-6.6,-6.2,-6.0,-5.7,-5.1,-5.8,-6.0,-7.2,-7.8,-4.7,-8.1,-5.4,-6.1,-4.5,-7.2,-6.7,-7.0,-6.1,-7.0,-7.0,-6.7,-5.4,-6.6,-8.4,-5.7,-7.3,-6.8,-6.0,-6.1,-6.4,-6.4
c1(sc(Nc2ccc(cc2)c2cccc(c2)OC)nc1c1ccccc1)C(=O)OCC,-8.2,-7.5,-7.3,-6.5,-6.7,-6.9,-8.2,-7.0,-7.2,-6.8,-7.2,-6.7,-7.6,-6.5,-6.4,-6.6,-7.1,-9.2,-8.2,-5.8,-9.2,-6.1,-7.2,-6.2,-8.1,-8.1,-7.6,-6.0,-7.3,-7.9,-6.8,-6.8,-8.0,-8.8,-6.6,-7.9,-7.8,-7.4,-6.8,-7.2,-7.8
c1(c(C)c(n(c1C)CC(=O)Nc1cccc(F)c1)c1ccccc1)C(=O)OCC,-7.6,-7.8,-6.0,-5.9,-6.2,-5.7,-7.0,-6.4,-6.3,-6.1,-6.7,-6.6,-7.1,-6.7,-5.9,-6.8,-6.7,-8.3,-8.5,-5.2,-7.9,-5.8,-6.5,-6.0,-6.8,-7.5,-7.4,-5.7,-6.8,-6.7,-7.2,-6.4,-7.9,-8.3,-5.7,-6.9,-6.9,-6.5,-6.1,-7.5,-6.8
Clc1cccc2c1O[C@H](CO2)[C@H]1NCCN1,-6.4,-6.0,-5.6,-4.9,-5.2,-5.4,-5.9,-5.4,-5.0,-5.2,-5.2,-5.0,-5.8,-5.8,-5.1,-5.4,-5.3,-5.9,-6.5,-4.8,-6.3,-5.7,-5.1,-5.7,-6.1,-5.5,-6.4,-4.8,-5.5,-6.4,-5.9,-5.5,-5.4,-6.9,-4.8,-6.7,-5.6,-5.5,-5.3,-6.2,-5.8
c1(ccc(c(N2CCC[C@@H](C2)N)n1)C1CC1)n1c2cc(ncc2cn1)c1cncc(c1)CC,-9.5,-8.5,-7.9,-6.7,-7.4,-6.7,-9.0,-8.3,-7.7,-7.8,-8.4,-8.0,-9.1,-7.4,-6.8,-7.7,-8.2,-10.0,-9.3,-6.4,-9.0,-7.6,-7.7,-7.5,-8.1,-8.8,-8.8,-7.4,-8.4,-9.0,-8.3,-7.1,-8.4,-9.3,-7.5,-8.1,-8.7,-8.2,-7.6,-8.5,-8.2
