SMILES,204_KAM,134_KAC,22_KAJ,80_KAD,154_KAN,296_KAW,92_KAM,140_KAC,260_KAF,192_KAO,220_KAH,310_KAQ,104_KAF,268_KAL,304_KAQ,342_KAI,290_KBA,322_KAK,210_KAF,34_KAS,178_KAA,56_KAS,58_KAF,72_KAI,8_KAI,200_KAR,134_KAH,212_KAL,286_KAM,182_KAD,216_KAN,284_KAJ,148_KAG,340_KAH,314_KAF,222_KAV,140_KAD,168_KAK,22_KAI,156_KAE,216_KAA
C[C@]12CC[C@@H]3[C@](CC[C@H]4[C@](C)(CC=C[C@@]34C)C(=O)NCc3ccccc3)(CC1=O)C2,-5.8,-7.6,-8.2,-6.9,-6.7,-10.2,-7.9,-7.6,-8.2,-10.3,-6.9,-7.2,-9.1,-8.7,-8.7,-6.9,-9.2,-7.1,-10.2,-7.4,-8.0,-7.9,-8.2,-8.8,-8.2,-6.2,-8.4,-7.7,-7.6,-8.5,-8.1,-7.1,-9.3,-7.1,-7.9,-8.0,-7.3,-7.7,-7.9,-7.5,-8.9
c1(cc(cc(n1)c1ccc(Cl)cc1)c1ccccc1)c1c(cccc1)O,-6.5,-8.5,-8.5,-6.9,-7.1,-9.6,-7.4,-7.3,-8.0,-9.4,-7.0,-8.8,-9.3,-8.8,-8.0,-6.2,-8.7,-7.4,-10.3,-7.0,-7.0,-7.7,-7.9,-8.3,-8.3,-7.7,-9.1,-7.1,-7.1,-7.7,-8.3,-6.5,-9.0,-7.9,-7.2,-8.3,-7.2,-7.6,-8.1,-7.3,-8.7
c1(c([nH]c2ccccc12)c1ccc(Cl)cc1)C(=O)C(=O)N(CC)Cc1ccccc1,-6.3,-7.2,-7.8,-6.6,-6.1,-8.5,-7.0,-7.2,-6.7,-9.2,-6.0,-8.1,-8.1,-7.6,-7.4,-6.6,-8.2,-6.5,-8.2,-6.8,-6.9,-7.8,-7.2,-7.3,-7.3,-6.5,-8.4,-6.3,-6.6,-8.3,-7.4,-6.0,-7.9,-7.3,-7.2,-7.1,-6.2,-6.9,-6.4,-7.8,-8.3
[C@@H]1([C@@]2(C=C[C@@H]3[C@@](C)([C@H](CC[C@]13C)O)CO)CO2)C/C=C\1/[C@@H](COC1=O)OC(=O)C,-5.0,-6.0,-6.9,-6.5,-5.8,-8.0,-6.4,-6.2,-6.9,-7.9,-5.8,-6.4,-7.1,-7.1,-6.9,-5.2,-7.0,-5.7,-7.6,-6.5,-6.7,-7.0,-6.7,-6.7,-6.9,-5.3,-7.4,-6.2,-6.2,-8.0,-6.9,-6.3,-8.0,-5.7,-6.8,-6.3,-5.5,-6.2,-6.7,-6.8,-7.7
c1(c(nc2sc(c(c2c1c1ccccc1)N)C(=O)c1ccc(F)cc1)N)CN,-5.3,-6.9,-7.6,-6.4,-6.2,-8.3,-6.7,-6.4,-7.1,-9.3,-6.0,-6.8,-8.4,-7.4,-7.9,-6.7,-8.0,-6.1,-8.6,-6.3,-6.3,-7.1,-7.5,-7.3,-7.1,-6.9,-7.5,-6.4,-6.6,-7.9,-6.9,-6.8,-8.6,-6.9,-7.1,-7.2,-6.5,-6.5,-7.2,-7.0,-8.0
O=C1NCc2c1c1c3ccccc3[nH]c1c1c2c2ccccc2n1C[C@H](O)CO,-6.3,-7.4,-8.4,-6.9,-6.9,-8.8,-6.9,-7.4,-7.9,-8.9,-7.1,-6.6,-8.3,-7.8,-8.8,-6.4,-8.5,-6.7,-9.9,-6.8,-8.1,-7.9,-8.5,-8.6,-7.3,-7.7,-8.6,-6.9,-6.8,-8.8,-7.5,-7.2,-9.6,-7.8,-7.4,-7.6,-6.9,-7.4,-8.5,-7.6,-8.4
O=C(Nc1nc2ncn(c2c(=O)[nH]1)CCI)c1ccccc1,-5.2,-6.5,-7.3,-6.2,-6.1,-7.7,-6.0,-5.9,-6.7,-8.3,-6.1,-7.1,-7.2,-6.4,-6.4,-7.1,-6.7,-5.8,-8.0,-6.5,-5.7,-6.7,-6.6,-6.7,-7.9,-6.5,-7.4,-6.2,-6.2,-7.2,-7.1,-5.9,-7.6,-6.4,-6.7,-6.4,-5.9,-6.5,-6.9,-6.8,-7.6
[C@H]1(CCCN(C(=O)c2ccncc2F)C1)c1n(C)ccn1,-4.8,-5.9,-6.2,-5.7,-5.4,-7.3,-5.7,-5.5,-5.9,-8.1,-5.8,-6.3,-6.6,-6.4,-6.1,-5.9,-6.9,-5.4,-7.6,-5.8,-5.8,-6.2,-6.6,-5.9,-5.9,-6.6,-7.0,-5.9,-5.7,-6.4,-6.1,-5.5,-7.2,-6.0,-6.2,-6.1,-5.5,-5.5,-6.3,-6.5,-6.7
C(=O)(Nc1ccc(cn1)c1ccc(cc1)OC1CCN(C)CC1)c1cc(c(cc1)OC)c1cccc(c1)OC,-5.5,-7.7,-7.7,-6.0,-6.6,-10.6,-6.7,-8.0,-7.7,-10.7,-7.2,-7.7,-7.8,-7.9,-7.8,-7.0,-7.9,-8.0,-9.1,-7.4,-5.9,-6.9,-7.5,-8.4,-7.9,-6.8,-8.2,-7.3,-7.4,-9.3,-7.5,-7.1,-8.1,-7.7,-8.0,-7.7,-6.4,-8.6,-7.3,-6.5,-8.8
[C@H]1(CCN(c2ncc(cc2c2ccc(C)nc2)C(=O)Nc2ccc(cc2)OC(F)(F)F)C1)NC,-5.2,-7.0,-8.4,-6.4,-6.5,-8.7,-6.9,-7.3,-7.2,-9.5,-6.1,-7.7,-7.5,-7.4,-7.4,-7.1,-7.9,-6.8,-8.9,-6.9,-6.6,-7.0,-7.0,-7.5,-7.1,-6.9,-8.1,-6.4,-6.6,-8.3,-7.1,-6.9,-8.5,-6.9,-7.9,-7.2,-6.0,-7.0,-7.2,-7.1,-9.1
